"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-sep 4","listingCard__spec-label 5","listingCard__spec-item 5","listingCard__location","he-lazy-image src","listingCard__owner-firm","wp-btn-label","listingCard__owner-name","he-lazy-image src 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/aydin-incirliova-istiklal-kiralik/daire/170203-8","1 / 3","18.000","10/09/2026","2+1 Kiralik Toki Evleri Doğal Gazlı","Kiralık Daire","2 + 1","90 m²","4 Yaşında","·","Kat","Yüksek Giriş","Aydın / İncirliova / İstiklal Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp","","",""
"https://www.hepsiemlak.com/aydin-kusadasi-sogucak-kiralik/villa/162627-352","1 / 35","120.000","09/09/2026","Kuşadası Soğucak'ta Kiralık 6+1 Lüks Müstakil Villa","Kiralık Villa","6 + 1","221 m²","3 Yaşında","·","Kat","","Aydın / Kuşadası / Soğucak Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","İsabet Kuşadası Gayrimenkul","WhatsApp","Abdülkadir
                  Taluğ","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/aydin-efeler-kemer-kiralik/daire/68088-1453","1 / 34","40.000","09/09/2026","Rw Alyanstan Kemer Mah.De Kiralık 4+1 Dubleks Daire","Kiralık Daire","4 + 1","210 m²","6 Yaşında","·","Kat","3. Kat","Aydın / Efeler / Kemer Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Realty World Alyans Gayrimenkul","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-didim-hisar-kiralik/mustakil-ev/145920-355","1 / 20","4.500","09/09/2026","Aydın Didim Hisar Mah Bahçeli Eşyalı 2+1 Kiralık Fırsatı!!","Kiralık Müstakil Ev","2 + 1","92 m²","26 Yaşında","","","","Aydın / Didim / Hisar Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp","","",""
"https://www.hepsiemlak.com/aydin-efeler-girne-kiralik/daire/141451-303","1 / 35","39.000","08/09/2026","Re/max Pın'den Girne Mh Ormancı Cd Kiralık 3+1 Daire","Kiralık Daire","3 + 1","140 m²","6 Yaşında","·","Kat","3. Kat","Aydın / Efeler / Girne Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Pin","WhatsApp","Emre
                  Özkaya","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/aydin-kusadasi-cumhuriyet-kiralik/daire/122880-119","1 / 18","25.000","09/09/2026","Kuşadası Cumhuriyet Mahallesinde Kiralık 2+1 Doğalgazlı Daire","Kiralık Daire","2 + 1","70 m²","16 Yaşında","·","Kat","1. Kat","Aydın / Kuşadası / Cumhuriyet Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Akg Ada Emlak","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-kusadasi-degirmendere-kiralik/daire/144462-388","1 / 20","29.500","09/09/2026","Kuşadası Değirmender'de Havuzlu Site'de 2+1 Kiralık Daire","Kiralık Daire","2 + 1","65 m²","5 Yaşında","·","Kat","3. Kat","Aydın / Kuşadası / Değirmendere Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Deniz Ada Gayrimenkul","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-efeler-cumhuriyet-kiralik/daire/163274-89","1 / 23","25.000","07/09/2026","Cumhuriyet Mahallesi 3+1 Kiralık Daire","Kiralık Daire","3 + 1","130 m²","16 Yaşında","·","Kat","Yüksek Giriş","Aydın / Efeler / Cumhuriyet Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Erbaş Class Emlak & Gayrimenkul","WhatsApp","Melih
                  Erbaş","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/aydin-kusadasi-degirmendere-kiralik/daire/141887-273","1 / 26","27.000","07/09/2026","Değirmendere Mah. Havuzlu Deniz Manzaralı 2+1 Daire Kiralık","Kiralık Daire","2 + 1","100 m²","16 Yaşında","·","Kat","Çatı Katı","Aydın / Kuşadası / Değirmendere Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Uzay Ada Gayrimenkul Yatırım Danışmanlık","WhatsApp","Alp
                  Onuralp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/aydin-nazilli-isabeyli-kiralik/daire/160026-369","1 / 16","13.500","07/09/2026","Duru Emlaktan 1+1 Full Eşyalı Kiralık Daire","Kiralık Daire","1 + 1","60 m²","6 Yaşında","·","Kat","1. Kat","Aydın / Nazilli / İsabeyli Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Duru Emlak","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
