"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-sep 4","listingCard__spec-label 5","listingCard__spec-item 5","listingCard__location","he-lazy-image src","listingCard__owner-firm","wp-btn-label","he-lazy-image src 2"
"https://www.hepsiemlak.com/izmir-buca-sirinkapi-kiralik/daire/123359-295","1 / 12","32.000","09/09/2026","İzmir Buca Yaşam Vadisi Sitesinde Kiralık 2+1","Kiralık Daire","2 + 1","80 m²","2 Yaşında","·","Kat","5. Kat","İzmir / Buca / Şirinkapı Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/6/2/2/0/7/4/31d067d4-ccd4-4364-8b32-0d8bbdce15da.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-torbali-cumhuriyet-kiralik/daire/147472-293","1 / 28","16.000","08/09/2026","Torbalı Cumhuriyet Mahallesi Barış Yapı Sitesi Arakat Kiralık Daire Doğalgazlı","Kiralık Daire","2 + 1","95 m²","25 Yaşında","·","Kat","3. Kat","İzmir / Torbalı / Cumhuriyet Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/9/7/7/1/2/7/4/1788170413119-47217799.jpg","Reyhan Emlak Gayrimenkul","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/7/4/7/4/1/472dbff1-b0f8-4687-9b7d-bd1555f762a6.jpg"
"https://www.hepsiemlak.com/izmir-odemis-ataturk-kiralik/daire/145956-94","1 / 14","23.000","08/09/2026","Bozdağ Gayrimenkulden Atatürk Mahallesinde Kiralık 2.Kat Daire;","Kiralık Daire","2 + 1","125 m²","15 Yaşında","·","Kat","2. Kat","İzmir / Ödemiş / Atatürk Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/1/5/8/7/3/6/4/1775292007619-46378512.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-buca-izkent-kiralik/daire/123359-294","1 / 8","21.000","08/09/2026","Evka 1 İzkentte Kiralık 2+1 Kapalı Mutfak Ferah","Kiralık Daire","2 + 1","80 m²","21 Yaşında","·","Kat","5. Kat","İzmir / Buca / İzkent Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/6/9/8/7/9/6/4/b6577d69-fb6a-43d9-b57b-24514eabce7f.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-bornova-kazimdirik-kiralik/daire/170839-10","1 / 11","27.000","16/08/2026","Bornova Kazımdirik Mahallesi Uğur Okullari Karşısı 3+1","Kiralık Daire","3 + 1","100 m²","40 Yaşında","·","Kat","2. Kat","İzmir / Bornova / Kazımdirik Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/4/3/3/1/7/4/1786814889904-47133464.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-bornova-kazimdirik-kiralik/daire/170839-8","1 / 13","25.000","15/08/2026","Kazımdirik Mahallesi Pazar Yeri Civarı Kiralik Daire","Kiralık Daire","3 + 1","110 m²","30 Yaşında","·","Kat","4. Kat","İzmir / Bornova / Kazımdirik Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/4/0/3/3/1/7/4/1786807534070-47133049.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-karsiyaka-aksoy-kiralik/daire/139699-274","1 / 35","47.500","24/08/2026","Karşıyaka Aksoy'da Nezih Bölgede Eşyalı Kiralık 2+1","Kiralık Daire","2 + 1","85 m²","31 Yaşında","·","Kat","1. Kat","İzmir / Karşıyaka / Aksoy Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/3/3/2/8/9/6/4/ddb3df2e-74f6-4704-949f-90252622db0a.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-bornova-kazimdirik-kiralik/daire/41692-1283","1 / 23","50.000","03/09/2026","🏡 Kazımdirik Mahallesi'nde Site İçerisinde Full Eşyalı Kiralık Daire","Kiralık Daire","3 + 1","120 m²","37 Yaşında","·","Kat","2. Kat","İzmir / Bornova / Kazımdirik Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/2/8/5/9/6/4/1787315193990-46958220.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-konak-kultur-kiralik/daire/141901-1009","1 / 40","150.000","10/09/2026","Alsancak Talatpaşa'da Eşyalı 4+1 Kiralık Lüks Daire","Kiralık Daire","4 + 1","265 m²","31 Yaşında","·","Kat","6. Kat","İzmir / Konak / Kültür Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/6/8/6/7/2/7/4/bc797b00-ac1e-4bba-9987-e4a0ce61366e.jpg","Startkey A Plus Gayrimenkul","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/0/9/1/4/1/b86e0761-e9b5-45b1-a959-e8d01d47e9ce.jpg"
"https://www.hepsiemlak.com/izmir-kemalpasa-armutlu-hurriyet-kiralik/daire/170599-5","1 / 18","25.000","10/09/2026","Re Vizyon Gayrimenkulden Armutlu Hürriyet Mahallesi’nde Kiralık Daire","Kiralık Daire","2 + 1","85 m²","3 Yaşında","·","Kat","En Üst Kat","İzmir / Kemalpaşa / Armutlu Hürriyet Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/3/9/6/7/2/7/4/1789032320-936356-47276932.jpeg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-cigli-sasalli-merkez-kiralik/villa/58372-6857","1 / 60","250.000","10/09/2026","Sasalı'da Site İçerisinde Müstakil Havuzlu 5+1 Kiralık Villa","Kiralık Villa","5 + 1","350 m²","2 Yaşında","·","Kat","","İzmir / Çiğli / Sasallı Merkez Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/4/9/6/7/2/7/4/269e40ae-1f58-41bd-9dff-9407ced648c2.jpg","Coldwell Banker Plus","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/7/3/8/5/0/1d7faae5-65d0-4f0c-a7c4-fc02c16b0ffb.jpg"
"https://www.hepsiemlak.com/izmir-cigli-yeni-mahalle-kiralik/daire/152002-717","1 / 35","52.000","10/09/2026","Çiğli Devlet Hastanesi Yakını Kiralık 3+1 Daire","Kiralık Daire","3 + 1","130 m²","16 Yaşında","·","Kat","3. Kat","İzmir / Çiğli / Yeni Mahalle Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/2/1/6/7/2/7/4/aa95e20f-a71c-4f20-a1d4-178e6ebe6751.jpg","Startkey Astra","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/0/0/2/5/1/dfcf1f9b-2798-451a-b54f-026bc64b090f.jpg"
"https://www.hepsiemlak.com/izmir-kemalpasa-ulucak-mustafa-kemal-ataturk-kiralik/daire/143949-1880","1 / 16","37.500","10/09/2026","Kemalpaşa Livkonda 2+1 Kiralık Daire","Kiralık Daire","2 + 1","75 m²","1 Yaşında","·","Kat","Giriş Katı","İzmir / Kemalpaşa / Ulucak Mustafa Kemal Atatürk Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/3/7/5/7/2/7/4/ffbc1211-5b6c-4818-b4cb-02614c7b397f.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-balcova-onur-kiralik/daire/93841-977","1 / 36","40.000","10/09/2026","Emlaksal Gayrimenkul'den Kiralık Agora Karşısı 2+1 Daire","Kiralık Daire","2 + 1","95 m²","6 Yaşında","·","Kat","2. Kat","İzmir / Balçova / Onur Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/9/9/6/7/2/7/4/c20c34e1-cdda-4992-b858-2188a6551333.jpg","Emlaksal Gayrimenkul","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/4/8/3/9/0/c84d77b0-8324-42f0-8e3d-f88ef9d84050.jpg"
"https://www.hepsiemlak.com/izmir-konak-atilla-kiralik/daire/9764-9226","1 / 29","23.000","10/09/2026","İlhan'dan Dağalgazlı Müstakil Bahçeli Giriş Kat Daire","Kiralık Daire","2 + 1","120 m²","45 Yaşında","·","Kat","Giriş Katı","İzmir / Konak / Atilla Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/6/7/9/0/0/633853af-7688-4cf3-93f5-f98557e6e1e8.jpg","İlhan Emlak","WhatsApp",""
"https://www.hepsiemlak.com/izmir-karsiyaka-fikri-altay-kiralik/daire/71862-2184","1 / 34","32.000","10/09/2026","Doğalgazlı_asansörlü_kapalı Mutfaklı_balkonlu 3+1","Kiralık Daire","3 + 1","125 m²","11 Yaşında","·","Kat","5. Kat","İzmir / Karşıyaka / Fikri Altay Mah.","","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-seferihisar-duzce-kiralik/villa/140393-913","1 / 17","55.000","10/09/2026","İster Eşyalı İster Eşyasız Kiralık Villa","Kiralık Villa","3 + 1","150 m²","6 Yaşında","·","Kat","","İzmir / Seferihisar / Düzce Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/9/3/0/4/1/c9e75698-8386-49eb-96a6-e0f741fa45f7.jpg","Azat Aktaş Gayrimenkul","WhatsApp",""
"https://www.hepsiemlak.com/izmir-konak-umurbey-kiralik/daire/161202-435","1 / 21","64.000","10/09/2026","Alsancak Evorada Kiralık 2+1","Kiralık Daire","2 + 1","96 m²","Sıfır Bina","·","Kat","2. Kat","İzmir / Konak / Umurbey Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/8/7/7/2/7/4/ffdec469-ac51-4ceb-b6bb-4f28bb1bd35e.jpg","Turpa Girne Gold Gayrimenkul","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/0/2/1/6/1/d86e89a8-94a3-4c59-a0aa-c71bcf6b4341.jpg"
"https://www.hepsiemlak.com/izmir-karsiyaka-latife-hanim-kiralik/daire/145597-265","1 / 39","16.000","10/09/2026","Latife Hanım Mahallesinde Kiralık 3+1 Daire","Kiralık Daire","3 + 1","110 m²","31 Yaşında","·","Kat","Yüksek Giriş","İzmir / Karşıyaka / Latife Hanım Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ecofast Gayrimenkul","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-karabaglar-uckuyular-kiralik/daire/78006-449","1 / 28","32.000","10/09/2026","Üçkuyular'da Öğrenciye Uygun Doğalgazlı Otoparklı Eşyalı Kiralık Daire.","Kiralık Daire","2 + 1","100 m²","40 Yaşında","·","Kat","4. Kat","İzmir / Karabağlar / Üçkuyular Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-karsiyaka-zubeyde-hanim-kiralik/daire/77059-1966","1 / 26","41.000","10/09/2026","İzmir Karşıyaka Zübeyde Hanım Mah. 3+1 Kiralık Dubleks Daire","Kiralık Daire","3 + 1","130 m²","5 Yaşında","·","Kat","3. Kat","İzmir / Karşıyaka / Zübeyde Hanım Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Aras Emlak","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-menemen-inonu-kiralik/daire/166407-179","1 / 11","20.000","10/09/2026","İzmir Menemen Seyrek İnönü Mahallesinde 1+1 Full Eşyalı Temiz Kiralık Daire","Kiralık Daire","1 + 1","45 m²","2 Yaşında","·","Kat","3. Kat","İzmir / Menemen / İnönü Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-bayrakli-muhittin-erener-kiralik/daire/135423-330","1 / 11","23.500","10/09/2026","M.Erenler Mah.Boyası Yapılı Temiz 3+1 Doğalgazlı Kiralık Daire","Kiralık Daire","3 + 1","125 m²","21 Yaşında","·","Kat","2. Kat","İzmir / Bayraklı / Muhittin Erener Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-buca-adatepe-kiralik/daire/34917-493","1 / 25","27.000","10/09/2026","Boranem—niğdeliler Sitesinde Klasik 3+1 Arakat Daire","Kiralık Daire","3 + 1","120 m²","26 Yaşında","·","Kat","2. Kat","İzmir / Buca / Adatepe Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-konak-atilla-kiralik/daire/16820-3933","1 / 24","40.000","10/09/2026","Üçyol Metro Yakını Eşyalı Doğalgazlı Kiralık Daire","Kiralık Daire","2 + 1","95 m²","10 Yaşında","·","Kat","2. Kat","İzmir / Konak / Atilla Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-seferihisar-ulamis-kiralik/villa/133723-1156","1 / 35","130.000","10/09/2026","Seferihisar Ulamış Mah Güzel Çiftlik Konakları 3+1 Kiralık Villa","Kiralık Villa","3 + 1","260 m²","16 Yaşında","·","Kat","","İzmir / Seferihisar / Ulamış Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Equinox Gayrimenkul","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-karabaglar-refet-bele-kiralik/daire/162854-275","1 / 15","30.000","10/09/2026","Refet Bele Mevlana Okulu Çevre 2+1 Açık Mutfak Yeni Daire","Kiralık Daire","2 + 1","90 m²","4 Yaşında","·","Kat","1. Kat","İzmir / Karabağlar / Refet Bele Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Opal Gayrimenkul Karabaglar","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-karsiyaka-inonu-kiralik/daire/133061-1225","1 / 40","28.000","10/09/2026","Soyak Siesta1 Havuz Manzaralı Kiralık Boş 1+1 Daire","Kiralık Daire","1 + 1","50 m²","11 Yaşında","·","Kat","7. Kat","İzmir / Karşıyaka / İnönü Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Spıca Gayrimenkul","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-bornova-erzene-kiralik/daire/59475-1161","1 / 60","110.000","10/09/2026","Volkan Emlaktan Evka3 Platin Konutlarında 4+1 Havuzlu Güvenlikli","Kiralık Daire","4 + 1","250 m²","20 Yaşında","·","Kat","8. Kat","İzmir / Bornova / Erzene Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-bornova-ergene-kiralik/daire/41545-2435","1 / 23","33.000","10/09/2026","Bornova Merkez'de Yeni Bina 1+1 Doğalgazlı Geniş Daire","Kiralık Daire","1 + 1","95 m²","10 Yaşında","·","Kat","Yüksek Giriş","İzmir / Bornova / Ergene Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-seferihisar-kavakdere-kiralik/mustakil-ev/97475-718","1 / 19","45.000","10/09/2026","Seferihisar Ürkmez Kavaklıdere’de Doğa İç İçe Yaşam Fırsatı","Kiralık Müstakil Ev","2 + 1","85 m²","3 Yaşında","·","Kat","","İzmir / Seferihisar / Kavakdere Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Coldwell Banker Kalem","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-bornova-mevlana-kiralik/daire/77374-577","1 / 18","34.000","10/09/2026","Bornova Ege Kampüs Yanı Eşyalı Kiralık 1+1 Daire","Kiralık Daire","1 + 1","62 m²","12 Yaşında","·","Kat","2. Kat","İzmir / Bornova / Mevlana Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-gaziemir-yesil-kiralik/daire/90115-1908","1 / 16","38.000","10/09/2026","Emlakbank Konutları Okullar Bölgesinde 2+1 Kiralık Daire","Kiralık Daire","2 + 1","90 m²","26 Yaşında","·","Kat","2. Kat","İzmir / Gaziemir / Yeşil Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Turyap Gaziemir Temsilciliği","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-cigli-sirintepe-kiralik/daire/110953-769","1 / 18","27.500","10/09/2026","Çiğli Şirintepe'de Kiralık 2+1, Açık Mutfak, Manzaralı Daire","Kiralık Daire","2 + 1","85 m²","5 Yaşında","·","Kat","Yarı Bodrum","İzmir / Çiğli / Şirintepe Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-karsiyaka-yali-kiralik/daire/31745-23390","1 / 28","78.000","10/09/2026","Mavişehir Soyak A Etap'ta Kiralık 3+1, 134 M² Köşe Ara Kat Daire","Kiralık Daire","3 + 1","134 m²","20 Yaşında","·","Kat","9. Kat","İzmir / Karşıyaka / Yalı Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Kw Alesta-viya-orsa 5","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-karabaglar-uckuyular-kiralik/daire/32694-806","1 / 16","33.000","10/09/2026","Üçkuyular İstinye Park Yakında 2+1 Doğal Gazlı Kiralık Daire","Kiralık Daire","2 + 1","85 m²","30 Yaşında","·","Kat","1. Kat","İzmir / Karabağlar / Üçkuyular Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-bornova-kazimdirik-kiralik/daire/63812-304","1 / 14","27.000","10/09/2026","Kazımdirik Mah Ege Üns Hastanesi Ve Yaşar Üns Yürüme  Mesafesinde Az Katlı Doğalgazlı Kirmesafesinde","Kiralık Daire","2 + 1","90 m²","35 Yaşında","·","Kat","En Üst Kat","İzmir / Bornova / Kazımdirik Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-seferihisar-hidirlik-kiralik/daire/48008-3361","1 / 13","26.000","10/09/2026","İzmir Seferihisar Hıdırlık Mahallesi’nde Yeni Binada Kiralık 1+1 Daire","Kiralık Daire","1 + 1","50 m²","3 Yaşında","·","Kat","Yüksek Giriş","İzmir / Seferihisar / Hıdırlık Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp",""
"https://www.hepsiemlak.com/izmir-karsiyaka-bostanli-kiralik/daire/128297-530","1 / 13","49.000","10/09/2026","Karşıyaka Bostanlı'da Yeni Binada Bakımlı Kiralık Daire","Kiralık Daire","2 + 1","80 m²","6 Yaşında","·","Kat","1. Kat","İzmir / Karşıyaka / Bostanlı Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/9/2/8/2/1/a6dde296-0dfa-48ea-a542-fef78bd063a1.jpg","Coldwell Banker Locate","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/4/3/1/2/0/2/3/f4e55e43-2d26-4527-906c-621ac9040b62.jpg"
"https://www.hepsiemlak.com/izmir-seferihisar-camikebir-kiralik/daire/133723-1152","1 / 27","20.500","10/09/2026","Seferihisar Camikebir Mah. Okullar Bölgesinde 1+1 Kiralık Daire","Kiralık Daire","1 + 1","55 m²","2 Yaşında","·","Kat","4. Kat","İzmir / Seferihisar / Camikebir Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/2/7/3/3/1/3b4e42b8-78e8-4ce9-9cfe-c019c36a0f8d.jpg","Equinox Gayrimenkul","WhatsApp",""
"https://www.hepsiemlak.com/izmir-karabaglar-bahcelievler-kiralik/daire/162854-272","1 / 28","30.000","10/09/2026","Opal Gayrimenkul - Bahçelievler 3+1 Doğalgazlı Kiralık Daire","Kiralık Daire","3 + 1","120 m²","26 Yaşında","·","Kat","4. Kat","İzmir / Karabağlar / Bahçelievler Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/5/8/2/6/1/0a79e595-bbe6-4337-842a-c05ccc0e6521.jpg","Opal Gayrimenkul Karabaglar","WhatsApp",""
